source,target
"Hello, how are you today?","Hola, ¿cómo estás hoy?"
"Do you like tacos?","¿Te gustan los tacos?"
"Once upon a time in a land far, far away","Había una vez en una tierra lejana, lejana."
"Good morning!","¡Buenos días!"
"I love programming.","Me encanta programar."
"I can't find my keys.","No encuentro mis llaves."
"What time is it?","¿Qué hora es?"
"She sells seashells by the seashore.","Ella vende conchas de mar en la orilla del mar."
"Please pass me the salt.","Por favor pásame la sal."
"I don't understand what you're saying.","No entiendo lo que estás diciendo."
"Would you like some coffee?","¿Te gustaría un poco de café?"
"The sky is blue and the grass is green.","El cielo es azul y el pasto es verde."
"My computer isn't working properly.","Mi computadora no funciona correctamente."
"I'm sorry for the inconvenience.","Lamento la molestia."
"Where is the nearest hospital?","¿Dónde está el hospital más cercano?"
"Have a great day!","¡Que tengas un gran día!"
"My favorite color is purple.","Mi color favorito es el morado."
"Can you help me with this problem?","¿Puedes ayudarme con este problema?"
"Happy birthday!","¡Feliz cumpleaños!"
"Thank you for your help.","Gracias por tu ayuda."